ID,Sp_bin,Area,Genus,Species,Location,Cat5
109,Rattus tiomanicus,1495112.163,Rattus,tiomanicus,Sunda,Sunda
110,Ratufa affinis,1335698.813,Ratufa,affinis,Sunda,Sunda
111,Ratufa bicolor,2557001.784,Ratufa,bicolor,Indochina,Indochina
112,Rhinosciurus laticaudatus,902037.1781,Rhinosciurus,laticaudatus,Sunda,Sunda
113,Rhizomys pruinosus,2359112.593,Rhizomys,pruinosus,Indochina,Indochina
114,Sundamys muelleri,1408490.272,Sundamys,muelleri,Sunda,Sunda
115,Sundasciurus brookei,259522.7561,Sundasciurus,brookei,Sunda,TrueSunda
116,Sundasciurus hippurus,1314932.084,Sundasciurus,hippurus,Sunda,Sunda
117,Sundasciurus lowii,1335061.774,Sundasciurus,lowii,Sunda,Sunda
118,Sundasciurus tenuis,1210111.765,Sundasciurus,tenuis,Sunda,Sunda
119,Sus barbatus,590189.7217,Sus,barbatus,Sunda,TrueSunda
120,Sus scrofa,28020429.13,Sus,scrofa,Indochina,Indochina
121,Symphalangus syndactylus,340350.0811,Symphalangus,syndactylus,Sunda,Sunda
122,Tamiops macclellandii,1464871.574,Tamiops,macclellandii,Indochina,Indochina
123,Tamiops maritimus,1718576.033,Tamiops,maritimus,Indochina,TrueIndo
124,Tamiops rodolphii,590761.6945,Tamiops,rodolphii,Indochina,Indochina
125,Tarsius bancanus,847617.3077,Tarsius,bancanus,Sunda,TrueSunda
126,Trachypithecus cristatus,1213228.799,Trachypithecus,cristatus,Sunda,Sunda
127,Trachypithecus germaini,343123.3894,Trachypithecus,germaini,Indochina,Indochina
128,Tragulus napu,1402255.771,Tragulus,napu,Sunda,Sunda
129,Trichys fasciculata,1189879.039,Trichys,fasciculata,Sunda,Sunda
130,Tupaia belangeri,2980115.618,Tupaia,belangeri,Indochina,Indochina
131,Tupaia glis,625937.4701,Tupaia,glis,Sunda,Sunda
132,Tupaia gracilis,643734.3219,Tupaia,gracilis,Sunda,TrueSunda
133,Tupaia javanica,248043.7868,Tupaia,javanica,Sunda,TrueSunda
134,Tupaia minor,1264124.998,Tupaia,minor,Sunda,Sunda
135,Tupaia picta,154832.6736,Tupaia,picta,Sunda,TrueSunda
136,Tupaia splendidula,411410.9138,Tupaia,splendidula,Sunda,TrueSunda
137,Tupaia tana,960283.4526,Tupaia,tana,Sunda,Sunda
138,Ursus thibetanus,8275910.886,Ursus,thibetanus,Indochina,Indochina
139,Vandeleuria oleracea,3789431.089,Vandeleuria,oleracea,Indochina,TrueIndo
140,Viverra megaspila,1488498.577,Viverra,megaspila,Indochina,Indochina
141,Viverra tangalunga,1728275.747,Viverra,tangalunga,Sunda,Sunda
142,Viverra zibetha,4854698.589,Viverra,zibetha,Indochina,Indochina
143,Viverricula indica,8588010.015,Viverricula,indica,Indochina,Indochina
